Gene Id: 	 Protein Id: DAA00620.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 552
Gene Id: MC018L	 Protein Id: AAC55146.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2039
Gene Id: MC019L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1991
Gene Id: MC019L	 Protein Id: AAC55147.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1988
Gene Id: MC020L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 419
Gene Id: MC020L	 Protein Id: AAC55148.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 416
Gene Id: MC021L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1166
Gene Id: MC021L	 Protein Id: AAC55149.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1163
Gene Id: MC022L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 767
Gene Id: MC022L	 Protein Id: AAC55150.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 764
Gene Id: MC023L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 626
Gene Id: MC023L	 Protein Id: AAC55151.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 623
Gene Id: MC024L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 266
Gene Id: MC024L	 Protein Id: AAC55152.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 263
Gene Id: MC025L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 446
Gene Id: MC025L	 Protein Id: AAC55153.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 443
Gene Id: MC026L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 251
Gene Id: MC026L	 Protein Id: AAC55154.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 248
Gene Id: MC027L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1604
Gene Id: MC027L	 Protein Id: AAC55155.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1601
Gene Id: MC028L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 806
Gene Id: MC028L	 Protein Id: AAC55156.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 803
Gene Id: MC029L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 692
Gene Id: MC029L	 Protein Id: AAC55157.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 689
Gene Id: MC030R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 278
Gene Id: MC030R	 Protein Id: AAC55158.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 275
Gene Id: MC031L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1412
Gene Id: MC031L	 Protein Id: AAC55159.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1409
Gene Id: MC032L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2246
Gene Id: MC032L	 Protein Id: AAC55160.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2243
Gene Id: MC033L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1739
Gene Id: MC033L	 Protein Id: AAC55161.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1736
Gene Id: MC034L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1334
Gene Id: MC034L	 Protein Id: AAC55162.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1331
Gene Id: MC035R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 6401
Gene Id: MC035R	 Protein Id: AAC55163.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 6398
Gene Id: MC036R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3173
Gene Id: MC036R	 Protein Id: AAC55164.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3170
Gene Id: MC037R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1697
Gene Id: MC037R	 Protein Id: AAC55165.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1694
Gene Id: MC038R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 830
Gene Id: MC038R	 Protein Id: AAC55166.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 827
Gene Id: MC039L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3014
Gene Id: MC039L	 Protein Id: AAC55167.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3011
Gene Id: MC040R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 305
Gene Id: MC040R	 Protein Id: AAC55168.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 302
Gene Id: MC041L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 398
Gene Id: MC041L	 Protein Id: AAC55169.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 395
Gene Id: MC042L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2351
Gene Id: MC042L	 Protein Id: AAC55170.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2348
Gene Id: MC043L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2318
Gene Id: MC043L	 Protein Id: AAC55171.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2315
Gene Id: MC044L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 932
Gene Id: MC044L	 Protein Id: AAC55172.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 929
Gene Id: MC045L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 218
Gene Id: MC045L	 Protein Id: AAC55173.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 215
Gene Id: MC046L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 866
Gene Id: MC046L	 Protein Id: AAC55174.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 863
Gene Id: MC047L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 248
Gene Id: MC047L	 Protein Id: AAC55175.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 245
Gene Id: MC048L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1220
Gene Id: MC048L	 Protein Id: AAC55176.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1217
Gene Id: MC049L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1547
Gene Id: MC049L	 Protein Id: AAC55177.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1544
Gene Id: 	 Protein Id: AAC55178.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2051
Gene Id: MC051L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 362
Gene Id: MC051L	 Protein Id: AAC55179.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 359
Gene Id: MC052R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 302
Gene Id: MC052R	 Protein Id: AAC55180.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 299
Gene Id: 	 Protein Id: AAC55181.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 398
Gene Id: MC054L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 707
Gene Id: MC054L	 Protein Id: AAC55182.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 704
Gene Id: MC055R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 650
Gene Id: MC055R	 Protein Id: AAC55183.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 647
Gene Id: MC056L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1781
Gene Id: MC056L	 Protein Id: AAC55184.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1778
Gene Id: MC057L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 326
Gene Id: MC057L	 Protein Id: AAC55185.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 323
Gene Id: MC058R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 740
Gene Id: MC058R	 Protein Id: AAC55186.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 737
Gene Id: MC059L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 380
Gene Id: MC059L	 Protein Id: AAC55187.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 377
Gene Id: MC60R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1313
Gene Id: MC60R	 Protein Id: AAC55188.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1310
Gene Id: MC061R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 191
Gene Id: MC061R	 Protein Id: AAC55189.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 188
Gene Id: MC062R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 587
Gene Id: MC062R	 Protein Id: AAC55190.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 584
Gene Id: MC063L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 251
Gene Id: MC063L	 Protein Id: AAC55191.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 248
Gene Id: MC064R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 188
Gene Id: MC064R	 Protein Id: AAC55192.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 185
Gene Id: MC065L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1208
Gene Id: MC065L	 Protein Id: AAC55193.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1205
Gene Id: MC066L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 662
Gene Id: MC066L	 Protein Id: AAC55194.2	 Virus Id: NC_001731.1	 Percentage of covered: 39.30197268588771 %	 Percentage of not covered: 60.69802731411229 %	 From: 659
Gene Id: MC067R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 782
Gene Id: MC067R	 Protein Id: AAC55195.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 779
Gene Id: MC068R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1028
Gene Id: MC068R	 Protein Id: AAC55196.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1025
Gene Id: MC069R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 731
Gene Id: MC069R	 Protein Id: AAC55197.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 728
Gene Id: MC070R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 281
Gene Id: MC070R	 Protein Id: AAC55198.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 278
Gene Id: MC071R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 302
Gene Id: MC071R	 Protein Id: AAC55199.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 299
Gene Id: MC072L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 932
Gene Id: MC072L	 Protein Id: AAC55200.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 929
Gene Id: MC073R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 764
Gene Id: MC073R	 Protein Id: AAC55201.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 761
Gene Id: MC074R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 440
Gene Id: MC074R	 Protein Id: AAC55202.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 437
Gene Id: MC075R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 551
Gene Id: MC075R	 Protein Id: AAC55203.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 548
Gene Id: MC076R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1031
Gene Id: MC076R	 Protein Id: AAC55204.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1028
Gene Id: MC077R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 563
Gene Id: MC077R	 Protein Id: AAC55205.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 560
Gene Id: MC078L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 404
Gene Id: MC078L	 Protein Id: AAC55206.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 401
Gene Id: MC079R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3869
Gene Id: MC079R	 Protein Id: AAC55207.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3866
Gene Id: MC080R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1187
Gene Id: MC080R	 Protein Id: AAC55208.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1184
Gene Id: MC081R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 335
Gene Id: MC081R	 Protein Id: AAC55209.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 332
Gene Id: MC082L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 509
Gene Id: MC082L	 Protein Id: AAC55210.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 506
Gene Id: MC083R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 575
Gene Id: MC083R	 Protein Id: AAC55211.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 572
Gene Id: MC084L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 896
Gene Id: MC084L	 Protein Id: AAC55212.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 893
Gene Id: MC085L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2375
Gene Id: MC085L	 Protein Id: AAC55213.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2372
Gene Id: MC086R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 662
Gene Id: MC086R	 Protein Id: AAC55214.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 659
Gene Id: MC087R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 971
Gene Id: MC087R	 Protein Id: AAC55215.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 968
Gene Id: MC088R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 431
Gene Id: MC088R	 Protein Id: AAC55216.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 428
Gene Id: MC089L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 344
Gene Id: MC089L	 Protein Id: AAC55217.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 341
Gene Id: MC090R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2852
Gene Id: MC090R	 Protein Id: AAC55218.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2849
Gene Id: MC091L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 512
Gene Id: MC091L	 Protein Id: AAC55219.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 509
Gene Id: MC092R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 806
Gene Id: MC092R	 Protein Id: AAC55220.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 803
Gene Id: MC093R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 680
Gene Id: MC093R	 Protein Id: AAC55221.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 677
Gene Id: MC094R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2375
Gene Id: MC094R	 Protein Id: AAC55222.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2372
Gene Id: MC095R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1907
Gene Id: MC095R	 Protein Id: AAC55223.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1904
Gene Id: MC096L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 629
Gene Id: MC096L	 Protein Id: AAC55224.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 626
Gene Id: MC097R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 485
Gene Id: MC097R	 Protein Id: AAC55225.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 482
Gene Id: MC098R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 638
Gene Id: MC098R	 Protein Id: AAC55226.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 635
Gene Id: MC099R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 689
Gene Id: MC099R	 Protein Id: AAC55227.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 686
Gene Id: MC100L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1904
Gene Id: MC100L	 Protein Id: AAC55228.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1901
Gene Id: MC101L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 887
Gene Id: MC101L	 Protein Id: AAC55229.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 884
Gene Id: MC102L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1643
Gene Id: MC102L	 Protein Id: AAC55230.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1640
Gene Id: MC103L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 509
Gene Id: MC103L	 Protein Id: AAC55231.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 506
Gene Id: MC104L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 686
Gene Id: MC104L	 Protein Id: AAC55232.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 683
Gene Id: MC105L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 212
Gene Id: MC105L	 Protein Id: AAC55233.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 209
Gene Id: MC106L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2027
Gene Id: MC106L	 Protein Id: AAC55234.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2024
Gene Id: MC107L	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1265
Gene Id: MC107L	 Protein Id: AAC55235.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1262
Gene Id: MC108R	 Protein Id: 	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 497
Gene Id: MC108R	 Protein Id: AAC55236.1	 Virus Id: NC_001731.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 494
